iter	Passed	Remaining
0	0	822
1	1	860
2	2	787
3	3	760
4	4	900
5	6	1136
6	7	1077
7	8	1075
8	9	1022
9	9	985
10	10	960
11	11	943
12	12	949
13	13	980
14	14	971
15	15	974
16	16	960
17	17	943
18	17	927
19	18	910
20	19	895
21	19	887
22	20	882
23	22	903
24	22	894
25	23	886
26	24	877
27	25	869
28	25	859
29	26	851
30	27	845
31	28	863
32	29	860
33	30	853
34	30	846
35	31	839
36	32	834
37	32	828
38	33	821
39	34	816
40	37	880
41	38	876
42	39	871
43	39	865
44	40	865
45	41	859
46	42	853
47	43	868
48	44	865
49	45	859
50	45	852
51	46	846
52	47	841
53	47	836
54	48	830
55	48	825
56	49	819
57	50	823
58	51	826
59	56	890
60	57	887
61	58	887
62	59	884
63	60	880
64	60	875
65	61	870
66	62	865
67	62	860
68	63	855
69	64	860
70	65	860
71	66	862
72	67	859
73	68	854
74	69	851
75	69	846
76	70	842
77	70	837
78	71	833
79	72	835
80	73	832
81	73	828
82	74	821
83	74	817
84	75	813
85	76	809
86	76	806
87	77	803
88	78	803
89	81	819
90	81	817
91	82	814
92	83	812
93	83	809
94	84	806
95	85	803
96	85	799
97	87	801
98	88	800
99	88	799
100	89	797
101	90	794
102	90	791
103	91	790
104	92	786
105	92	783
106	93	780
107	94	778
108	94	776
109	95	773
110	96	770
111	96	766
112	97	763
113	97	760
114	98	758
115	99	756
116	99	752
117	100	750
118	101	750
119	102	750
120	103	750
121	103	746
122	104	744
123	105	742
124	105	741
125	106	739
126	107	736
127	107	733
128	108	731
129	109	731
130	110	729
131	110	727
132	111	725
133	111	722
134	112	720
135	113	718
136	113	715
137	114	713
138	114	711
139	115	709
140	117	713
141	117	710
142	118	708
143	118	707
144	119	705
145	120	704
146	121	702
147	121	700
148	122	698
149	122	696
150	123	695
151	124	693
152	125	692
153	125	691
154	126	691
155	127	690
156	128	688
157	129	687
158	129	686
159	130	684
160	131	685
161	132	684
162	133	684
163	133	682
164	134	680
165	135	679
166	135	677
167	136	675
168	136	673
169	137	671
170	138	672
171	139	671
172	140	670
173	140	668
174	141	667
175	142	665
176	142	663
177	143	661
178	143	659
179	144	658
180	145	657
181	146	656
182	147	656
183	147	655
184	148	653
185	149	652
186	149	650
187	150	649
188	150	647
